Question,DAB,CP,LP,IND,Type
"1.     Do you agree that one country should be the foundation of two systems and if they come to contradiction, one country should be placed above two systems?",Y,N,Y,N,Social
"2.     Do you agree that Hong Kong should remain completely politically independent and separate from mainland, China?",N,Y,N,Y,Social
"3.     Do you agree that as long as we don’t commit crimes, we should not be worried about official surveillance?",RY,N,N,N,Social
4.     Do you agree our civil liberty is being excessively curbed in the name of security?,N,Y,N,RN,Social
5.     Do you agree with legislation of bill 23 for the purpose of national security?,Y,N,N,N/A,Social
6.     Do you agree that illegal immigrants should be given access to government subsidy/financial support?,N,RN,N/A,N/A,Social
7.     Do you agree that children of illegal immigrants should be granted citizenship? ,N,N/A,N/A,N,Social
8.     Do you agree that foreign helpers have the right to apply for citizenship in Hong Kong?,N,Y,N/A,N,Social
9.     Do you support the legalization of same sex marriage?,N,RY,Y,Y,Social
10.  Do you think a same sex couple should not be excluded from the possibility of child adoption?,N,RY,N/A,N/A,Social
11.  Do you agree with occupy central movement?,N,Y,N,N/A,Social
12.  Do you support the constitutional reform bill proposed by the government? ,Y,N,Y,RY,Social
13.  Do you agree that the Chinese Communist Party should be the only legitimate party in power?,Y,N,Y,Y,Social
14.  Do you agree that there should be official ceremony to commemorate the “June 4th Incident”?,N,Y,N,RY,Social
15.  Do you agree with any amendment of the Basic Law?,Y,N/A,N,N/A,Social
16.  Do you agree that “Hong Kong people” are not the same as Chinese people?,N,Y,N,N/A,Social
17.  Do you support CY Leung’s administrative role?,Y,N,N,N/A,Social
18.  Do you support implementation of moral and national education?,Y,N,Y,N,Social
19.  Do you agree that the press should to some extent be under government monitoring and control?,Y,N,N,Y,Social
20.  Do you agree that the number of mainland visitors should be reduced?,N/A,N/A,Y,Y,Social
21.  Do you agree that Hong Kong government should subsidize to provide for more private health care?,Y,N/A,N,N/A,Social
22.  Do you agree that the economic progress/reform of China is indispensable to Hong Kong’s economic development?,N,N,Y,N/A,Social
23.  Do you agree that universities should increase the number of places so that more young people can get degrees?,Y,Y,N,N/A,Social
24.  Do you agree that civic nomination is the most suitable scheme to implement universal suffrage in Hong Kong?,N,Y,N,N,Social
25.  Do you agree that the government should promote the development of sports professionalism?,Y,Y,Y,N,Social
26.  Do you agree that Hong Kong should remain a free market economy? ,Y,N,Y,N,Economic
27.  Do you agree that the interest of the SMEs should be protected under competition law? Do you agree that genuine free market requires restrictions on the ability of predator multinationals to create monopolies?,N/A,N/A,N,Y,Economic
28.  Should Hong Kong reduce corporate income tax rates?,N/A,Y,N,N/A,Economic
29.  Do you agree controlling inflation is more important than controlling unemployment?,N/A,Y,N,Y,Economic
30.  Do you support the development of the third runway in Hong Kong?,N,N,Y,N/A,Economic
31.  Should the government legislate a law to fix the minimum wage?,N/A,Y,N,Y,Economic
"32.  Do you agree the wealth should be taxed more? // do you think the rich is too highly taxed? ""From each according to his ability, to each according to his need"" is a fundamentally good idea.",Y,N,Y,N,Economic
33.  Do you agree that corporations cannot be trusted to voluntarily protect the environment and they require regulation?,Y,Y,N,Y,Economic
"34.  Do you agree that above all things, a company should prioritize delivering a profit to its shareholders?",N,N,Y,N,Economic
35.  Do you agree that the government should be expected to protect any cultural remains even if they that cannot survive on a commercial basis?,Y,N,Y,N/A,Economic
36.  Do you support the development of West Kowloon Cultural District?,Y,N,Y,Y,Economic
37.  Do you agree that the government should suppress the growth of home prices?,Y,N,RY,N,Economic
38.  Do you agree that severance payments and long service payments should be deducted from accrued benefits of the MPF schemes?,N,N,Y,N,Economic
39.  Do you agree with the view that Hong Kong does not have enough tourist attractions?,N/A,N,Y,N,Economic
40.  Do you agree with MTR’s Fare Adjustment Mechanism? ,N,N,Y,N,Economic
41.  Do you agree that those with the ability to pay should have the right to higher standards of medical care?,Y,N/A,N,Y,Economic
"42.  Do you agree that those who are able to work, and refuse the opportunity, should not expect society's support?",N/A,N,Y,N,Economic
43.  Do you support legislation of law to ensure standard working hours?,Y,N,N/A,N/A,Economic
44.  Do you agree that those with the ability to pay should have the right to higher quality of education?,Y,N,N,Y,Economic
45.  Do you agree that the prime function of schooling should be to equip the future generation to find jobs?,Y,Y,N,Y,Economic
46.  Do you agree that the government should encourage and help young people to start up their own businesses?,N,Y,N,Y,Economic
47.  Do you agree that fiscal reserves of the Government should be given out to the general public? ,Y,N,Y,N/A,Economic
48.  Do you agree that land on the edges of the country parks should be developed for housing?,N,Y,N,Y,Economic
49.  Do you agree that Hong Kong dollar should continue to be linked to the US dollar?,Y,N/A,N,N,Economic
50.  Do you support the forming of Innovation and Technology Bureau?,Y,N/A,Y,N,Economic
