question,Y,RY,RN,N,N/A,TYPE
"1.ææææ Do you agree that one country should be the foundation of two systems and if they come to contradiction, one country should be placed above two systems?",0.25,0.5,0.75,1,0,Social
"2.ææææ Do you agree that Hong Kong should remain completely politically independent and separate from mainland, China?",1,0.75,0.25,0,0,Social
"3.ææææ Do you agree that as long as we donÍt commit crimes, we should not be worried about official surveillance?",0.25,0.5,0.75,1,0,Social
4.ææææ Do you agree our civil liberty is being excessively curbed in the name of security?,1,0.75,0.5,0.25,0,Social
5.ææææ Do you agree with legislation of bill 23 for the purpose of national security?,0.25,0.5,0.75,1,0,Social
6.ææææ Do you agree that illegal immigrants should be given access to government subsidy/financial support?,1,0.75,0.5,0.25,0,Social
7.ææææ Do you agree that children of illegal immigrants should be granted citizenship? ,1,0.75,0.5,0.25,0,Social
8.ææææ Do you agree that foreign helpers have the right to apply for citizenship in Hong Kong?,1,0.75,0.5,0.25,0,Social
9.ææææ Do you support the legalization of same sex marriage?,1,0.75,0.5,0.25,0,Social
10.æ Do you think a same sex couple should not be excluded from the possibility of child adoption?,1,0.75,0.5,0.25,0,Social
11.æ Do you agree with occupy central movement?,1,0.75,0.5,0.25,0,Social
12.æ Do you support the constitutional reform bill proposed by the government? ,0.25,0.5,0.75,1,0,Social
13.æ Do you agree that the Chinese Communist Party should be the only legitimate party in power?,0.25,0.5,0.75,1,0,Social
14.æ Do you agree that there should be official ceremony to commemorate the ñJune 4th Incidentî?,1,0.75,0.5,0.25,0,Social
15.æ Do you agree with any amendment of the Basic Law?,1,0.75,0.5,0.25,0,Social
16.æ Do you agree that ñHong Kong peopleî are not the same as Chinese people?,1,0.75,0.5,0.25,0,Social
17.æ Do you support CY LeungÍs administrative role?,0.25,0.5,0.75,1,0,Social
18.æ Do you support implementation of moral and national education?,0.25,0.5,0.75,1,0,Social
19.æ Do you agree that the press should to some extent be under government monitoring and control?,0.25,0.5,0.75,1,0,Social
20.æ Do you agree that the number of mainland visitors should be reduced?,0.25,0.5,0.75,1,0,Social
21.æ Do you agree that Hong Kong government should subsidize to provide for more private health care?,0.25,0.5,0.75,1,0,Social
22.æ Do you agree that the economic progress/reform of China is indispensable to Hong KongÍs economic development?,0.25,0.5,0.75,1,0,Social
23.æ Do you agree that universities should increase the number of places so that more young people can get degrees?,0.25,0.5,0.75,1,0,Social
24.æ Do you agree that civic nomination is the most suitable scheme to implement universal suffrage in Hong Kong?,1,0.75,0.5,0.25,0,Social
25.æ Do you agree that the government should promote the development of sports professionalism?,0.25,0.5,0.75,1,0,Social
26.æ Do you agree that Hong Kong should remain a free market economy? ,1,0.75,0.5,0.25,0,Economic
27.æ Do you agree that the interest of the SMEs should be protected under competition law? Do you agree that genuine free market requires restrictions on the ability of predator multinationals to create monopolies?,0.25,0.5,0.75,1,0,Economic
28.æ Should Hong Kong reduce corporate income tax rates?,1,0.75,0.5,0.25,0,Economic
29.æ Do you agree controlling inflation is more important than controlling unemployment?,0.25,0.5,0.75,1,0,Economic
30.æ Do you support the development of the third runway in Hong Kong?,1,0.75,0.5,0.25,0,Economic
31.æ Should the government legislate a law to fix the minimum wage?,0.25,0.5,0.75,1,0,Economic
"32.æ Do you agree the wealth should be taxed more? // do you think the rich is too highly taxed? ""From each according to his ability, to each according to his need"" is a fundamentally good idea.",0.25,0.5,0.75,1,0,Economic
33.æ Do you agree that corporations cannot be trusted to voluntarily protect the environment and they require regulation?,0.25,0.5,0.75,1,0,Economic
"34.æ Do you agree that above all things, a company should prioritize delivering a profit to its shareholders?",1,0.75,0.5,0.25,0,Economic
35.æ Do you agree that the government should be expected to protect any cultural remains even if they that cannot survive on a commercial basis?,0.25,0.5,0.75,1,0,Economic
36.æ Do you support the development of West Kowloon Cultural District?,1,0.75,0.5,0.25,0,Economic
37.æ Do you agree that the government should suppress the growth of home prices?,0.25,0.5,0.75,1,0,Economic
38.æ Do you agree that severance payments and long service payments should be deducted from accrued benefits of the MPF schemes?,1,0.75,0.5,0.25,0,Economic
39.æ Do you agree with the view that Hong Kong does not have enough tourist attractions?,1,0.75,0.5,0.25,0,Economic
40.æ Do you agree with MTRÍs Fare Adjustment Mechanism? ,1,0.75,0.5,0.25,0,Economic
41.æ Do you agree that those with the ability to pay should have the right to higher standards of medical care?,1,0.75,0.5,0.25,0,Economic
"42.æ Do you agree that those who are able to work, and refuse the opportunity, should not expect society's support?",1,0.75,0.5,0.25,0,Economic
43.æ Do you support legislation of law to ensure standard working hours?,0.25,0.5,0.75,1,0,Economic
44.æ Do you agree that those with the ability to pay should have the right to higher quality of education?,1,0.75,0.5,0.25,0,Economic
45.æ Do you agree that the prime function of schooling should be to equip the future generation to find jobs?,1,0.75,0.5,0.25,0,Economic
46.æ Do you agree that the government should encourage and help young people to start up their own businesses?,1,0.75,0.5,0.25,0,Economic
47.æ Do you agree that fiscal reserves of the Government should be given out to the general public? ,0.25,0.5,0.75,1,0,Economic
48.æ Do you agree that land on the edges of the country parks should be developed for housing?,0.25,0.5,0.75,1,0,Economic
49.æ Do you agree that Hong Kong dollar should continue to be linked to the US dollar?,0.25,0.5,0.75,1,0,Economic
50.æ Do you support the forming of Innovation and Technology Bureau?,1,0.75,0.5,0.25,0,Economic
